b,h,EE,P7,P50,RV,LD,MD1,MD2,PHC,PHS,E7,E50
2,2,0.035898,0.037669,0.033271,0.039256,0.039521,0.03718,0.036764,0.038237,0.0165,0.01876,0.027306
2,3,0.05905,0.0497,0.049701,0.027862,0.027857,0.045745,0.029014,0.029887,0.027124,0.042493,0.042477
2,4,0.048026,0.082883,0.088026,0.117411,0.073596,0.130267,0.080317,0.049665,0.125056,0.070705,0.062846
2,5,0.088938,0.179901,0.144603,0.15284,0.127108,0.135475,0.160038,0.111693,0.141711,0.099519,0.101055
4,2,0.080846,0.127019,0.112088,0.141311,0.10224,0.141647,0.155931,0.137914,0.09725,0.148875,0.153424
4,3,0.293721,0.321622,0.351052,0.23073,0.262007,0.313763,0.343637,0.278155,0.259043,0.228917,0.312085
4,4,1.06656,1.42748,1.37234,0.900324,3.04221,1.16852,0.871448,0.990614,0.802286,1.82474,1.78135
4,5,4.04316,6.30604,5.59622,3.58158,3.60895,3.67844,4.38614,4.76883,4.07225,18.1567,17.362
6,2,0.262841,0.301195,0.293667,0.298174,0.265902,0.2323,0.294733,0.235574,0.317845,0.230933,0.333016
6,3,1.23322,1.5907,1.40281,1.10157,0.94058,0.952239,1.17184,1.06495,0.957415,1.56275,1.46035
6,4,8.1731,25.2664,17.2514,7.9829,6.62188,5.47421,7.50941,8.30914,7.24498,23.6038,23.4017
6,5,39.9488,190.48,107.628,31.2817,32.682,30.2468,30.0409,34.2703,31.2355,788.209,NA
