Branching & Height & EE & P7 & P50 & RV & LD & MD1 & MD2 & PHC & PHS & E7 & E50\\
2 & 2 & \textbf{1} & \textbf{1} & \textbf{1} & 0.875 & 0.625 & 0.75 & 0.875 & $\color{red}4.37\cdot{10^{-1}}$ & 0.583333 & 0.666667 & 0.666667\\
2 & 3 & \textbf{1} & \textbf{1} & \textbf{1} & 0.75 & 0.775 & 0.775 & 0.775 & 0.192857 & 0.464583 & 0.59375 & 0.75\\
2 & 4 & 1 & 1 & 1 & 0.666667 & 0.666667 & 0.733333 & 0.733333 & 0.134871 & 0.360119 & 0.3875 & 0.7\\
2 & 5 & 1 & 1 & 1 & 0.619048 & 0.690476 & 0.583333 & 0.666667 & 0.102852 & 0.247086 & 0.421875 & 0.536458\\
4 & 2 & 1 & 1 & 1 & 0.791667 & 0.645833 & 0.854167 & 0.645833 & 0.228869 & 0.35 & 0.3125 & 0.666667\\
4 & 3 & 1 & 1 & 1 & 0.544643 & 0.544643 & 0.553571 & 0.5 & 0.0786869 & 0.29305 & 0.375 & 0.5\\
4 & 4 & 1 & 0.998437 & 1 & 0.517857 & 0.475 & 0.442857 & 0.442857 & 0.0598588 & 0.160168 & 0.258594 & 0.409375\\
4 & 5 & 1 & 0.972819 & 0.976725 & 0.372727 & 0.406818 & 0.181818 & 0.290909 & 0.0458873 & 0.0612297 & 0.233561 & 0.357585\\
6 & 2 & 1 & 1 & 1 & 0.833333 & 0.624269 & 0.721491 & 0.61038 & 0.180916 & 0.255952 & 0.425926 & 0.527778\\
6 & 3 & 1 & 0.99537 & 1 & 0.62963 & 0.548611 & 0.384259 & 0.423611 & 0.0478767 & 0.19742 & 0.303241 & 0.484954\\
6 & 4 & 1 & 0.989043 & 0.993981 & 0.35873 & 0.403704 & 0.365079 & 0.338624 & 0.0272318 & 0.0883288 & 0.221605 & 0.390123\\
6 & 5 & 1 & 0.920803 & 0.946373 & 0.322222 & 0.3 & 0.155844 & 0.155844 & 0.0224372 & 0.0282282 & 0.152199\\
