b,h,EE,P7,P50,RV,LD,MD1,MD2,PHC,PHS,E7,E50
2,2,0,0,0,0,0,0,0,0.4375,0.291667,0.25,0.25
2,3,0,0,0,0.0909091,0.0454545,0.0454545,0.0454545,0.315057,0.177146,0.147727,0.0909091
2,4,0,0,0,0.04,0.04,0.0392308,0.0392308,0.172712,0.110248,0.117788,0.0576923
2,5,0,0,0,0.035401,0.0264724,0.0357257,0.0350877,0.0945337,0.0746147,0.0608553,0.0487939
4,2,0,0,0,0.0138889,0.0138889,0.0138889,0.0138889,0.109859,0.065625,0.114583,0.0555556
4,3,0,0,0,0.00949668,0.00949668,0.00316456,0.00949367,0.0415686,0.0227864,0.0308642,0.0246914
4,4,0,2.32515e-05,0,0.00374476,0.00375155,0.00301436,0.00301436,0.01234,0.00988043,0.0110328,0.00878906
4,5,0,0.000120004,0.000102758,0.00147683,0.00147602,0.0014892,0.00148261,0.00372279,0.00360415,0.00338384,0.00283627
6,2,0,0,0,0,0.0166667,0,0.00833333,0.038222,0.0284392,0.0430556,0.0354167
6,3,0,7.26216e-05,0,0.00328105,0.00395813,0.00266135,0.00397896,0.0126137,0.00734939,0.0109296,0.00807916
6,4,0,3.53445e-05,1.94146e-05,0.000863,0.000754845,0.00064788,0.00064823,0.00263484,0.00219053,0.00251095,0.00196734
6,5,0,5.09576e-05,3.4505e-05,0.000196756,0.000196775,0.000215124,0.000215124,0.000538424,0.000528764,0.000545502,NA
